category,method_name,description,output_pattern
core,First Principles,"Break down to fundamental truths, removing assumptions","assumption → fundamental truth → implications → new approach"
core,5 Whys,"Ask 'why' repeatedly to find root cause","problem → why1 → why2 → why3 → why4 → root cause"
core,Socratic Questioning,"Guide discovery through targeted questions","claim → clarifying question → assumption check → evidence request → implications"
core,MECE Analysis,"Organize into Mutually Exclusive, Collectively Exhaustive categories","topic → categories → verify mutual exclusivity → verify completeness"
core,Inversion,"Consider the opposite of what you want","goal → inverse (what would guarantee failure?) → avoid inverse → refined approach"
core,Analogy Mapping,"Find parallel situations in other domains","current problem → find analog → map relationships → transfer insights"
collaboration,Stakeholder Round Table,"Gather perspectives from different roles","topic → stakeholder 1 view → stakeholder 2 view → synthesis"
collaboration,Expert Panel,"Consult domain experts (simulated)","question → expert A opinion → expert B opinion → consensus/debate"
collaboration,Debate Club,"Argue for and against a position","position → pro arguments → con arguments → synthesis"
collaboration,Devil's Advocate,"Systematically challenge assumptions","proposal → challenge 1 → defense → challenge 2 → refined proposal"
collaboration,Red Team Blue Team,"Attack and defend strategy","system → red team attacks → blue team defenses → improvements"
collaboration,Synthesis Council,"Multiple viewpoints seeking common ground","perspectives → common threads → unique contributions → unified view"
creative,SCAMPER,"Substitute Combine Adapt Modify Put Eliminate Reverse","idea → S: substitute? → C: combine? → A: adapt? → M: modify? → P: put elsewhere? → E: eliminate? → R: reverse?"
creative,What If Scenarios,"Explore alternative futures","current state → what if X? → consequences → opportunities"
creative,Genre Mashup,"Combine unexpected elements from different genres","genre A + genre B → unexpected combinations → evaluate novelty"
creative,Constraint Removal,"Imagine no limits exist","constraints identified → remove each → explore possibilities → bring back selectively"
creative,Random Stimulus,"Inject random element for new connections","random word/image → forced connections → new ideas"
creative,Reverse Brainstorm,"How to cause the problem?","desired outcome → how to guarantee failure → reverse each failure mode"
creative,Mind Palace,"Spatial memory technique for organization","topic → assign to locations → walk through palace → retrieve connections"
creative,Six Thinking Hats,"Structured parallel thinking","white (facts) → red (emotions) → black (caution) → yellow (optimism) → green (creativity) → blue (process)"
risk,Pre-mortem Analysis,"Imagine project failed, identify why","imagine failure → brainstorm causes → prioritize risks → mitigation"
risk,Chaos Monkey,"Random disruption to test resilience","system → inject random failure → observe impact → improve resilience"
risk,Edge Case Storm,"Systematically find extreme cases","normal case → minimum values → maximum values → null/empty → invalid inputs"
risk,Murphy's Law Review,"What can go wrong will go wrong","feature → identify failure modes → probability × impact → mitigation"
risk,Threat Modeling,"Identify potential threats and attackers","system → potential attackers → attack vectors → defenses"
advanced,Tree of Thoughts,"Branching reasoning paths","problem → branch A → evaluate → branch B → evaluate → prune → select best path"
advanced,Chain of Thought,"Step-by-step explicit reasoning","problem → step 1 reasoning → step 2 reasoning → ... → conclusion"
advanced,Self-Consistency,"Multiple reasoning attempts for validation","problem → attempt 1 → attempt 2 → attempt 3 → compare → consensus"
advanced,Metacognitive Review,"Thinking about your own thinking","response → what assumptions did I make? → what did I miss? → confidence level"
advanced,Backward Chaining,"Start from goal, work backward","goal → what enables goal? → what enables that? → ... → first action"
advanced,Abstraction Laddering,"Move up and down abstraction levels","specific → abstract → more abstract → back down different path → new specific"
game,Player Fantasy Mining,"What fantasy does the player want to fulfill?","player → desired fantasy → emotions wanted → mechanics that deliver"
game,Core Loop Analysis,"Examine the action-feedback-reward cycle","action → feedback → reward → motivation to repeat → refinement"
game,MDA Framework,"Mechanics-Dynamics-Aesthetics analysis","aesthetics wanted → dynamics needed → mechanics required"
game,Bartle Types,"Consider different player motivations","achievers → explorers → socializers → killers → how feature serves each"
game,Flow State Design,"Balance challenge and skill","current skill → challenge level → adjust for flow → avoid boredom/anxiety"
game,Juice Audit,"Evaluate feedback and feel","action → visual feedback → audio feedback → screen effects → satisfaction"
ux,User Journey Mapping,"Follow user through experience","user → entry point → steps → pain points → moments of delight → exit"
ux,Heuristic Evaluation,"Apply usability heuristics","interface → visibility → match real world → user control → consistency → ..."
ux,Accessibility Review,"Consider different abilities","visual impairment → hearing impairment → motor impairment → cognitive → solutions"
technical,Scalability Stress Test,"Imagine 10x, 100x scale","current scale → 10x: what breaks? → 100x: what breaks? → solutions"
technical,Dependency Mapping,"Trace all dependencies","component → depends on → depends on → single points of failure → redundancy"
technical,Performance Profiling,"Identify bottlenecks","user action → CPU time → GPU time → memory → network → bottleneck → optimization"
technical,Security Audit,"Check attack surfaces","system → inputs → outputs → state → each: can attacker exploit?"
meta,Parking Lot,"Save tangents for later","main topic → tangent emerges → park it → continue main → revisit parked items"
meta,Time Boxing,"Limit exploration time","topic → set timer → explore → timer ends → synthesize → move on"
meta,Confidence Calibration,"Rate certainty of claims","claim → evidence strength → assumptions → confidence: high/medium/low"
meta,Bias Check,"Identify potential biases","response → confirmation bias? → anchoring? → availability? → adjust"
